Longitude:130.8444,Longitude:130.8444,Longitude:130.8444,Longitude:130.8444,Longitude:130.8444,Longitude:130.8444,Longitude:130.8444,Longitude:130.8444
Latitude:-12.4637,Latitude:-12.4637,Latitude:-12.4637,Latitude:-12.4637,Latitude:-12.4637,Latitude:-12.4637,Latitude:-12.4637,Latitude:-12.4637
Temperature,Speed,Direction,Pressure,Temperature,Speed,Direction,Pressure
C,m/s,degrees,atm,C,m/s,degrees,atm
150,150,150,150,10,10,10,10
28.2,3.6,263,0.9935356526030101,28.2,2.586150380832949,263,0.9935356526030101
28.2,3.4,257,0.9935356526030101,28.2,2.442475359675563,257,0.9935356526030101
28.0,2.8,246,0.9937330372563533,28.0,2.0114502962034044,246,0.9937330372563533
27.8,2.3,241,0.9940291142363682,27.8,1.6522627433099395,241,0.9940291142363682
27.7,2.2,228,0.9946212681963977,27.7,1.5804252327312467,228,0.9946212681963977
27.7,2.4,209,0.9951147298297557,27.7,1.7241002538886325,209,0.9951147298297557
28.4,2.1,200,0.9956081914631137,28.4,1.5085877221525537,200,0.9956081914631137
29.6,1.8,229,0.9961016530964717,29.6,1.2930751904164746,229,0.9961016530964717
30.4,2.5,258,0.9961016530964717,30.4,1.7959377644673258,258,0.9961016530964717
31.0,2.7,261,0.9955094991364422,31.0,1.9396127856247118,261,0.9955094991364422
31.6,3.1,261,0.9948186528497409,31.6,2.226962827939484,261,0.9948186528497409
31.6,4.1,265,0.9938317295830249,31.6,2.945337933726414,265,0.9938317295830249
31.4,4.7,264,0.9930421909696522,31.4,3.3763629971985725,264,0.9930421909696522
30.9,4.5,255,0.9929434986429805,30.9,3.2326879760411864,255,0.9929434986429805
30.3,4.3,255,0.9930421909696522,30.3,3.0890129548838,255,0.9930421909696522
30.0,4.1,253,0.9931408832963237,30.0,2.945337933726414,253,0.9931408832963237
29.7,3.4,250,0.9937330372563533,29.7,2.442475359675563,250,0.9937330372563533
29.3,3.0,260,0.9941278065630397,29.3,2.155125317360791,260,0.9941278065630397
29.0,3.0,269,0.9944238835430546,29.0,2.155125317360791,269,0.9944238835430546
28.8,2.9,275,0.9948186528497409,28.8,2.083287806782098,275,0.9948186528497409
28.7,3.0,277,0.9951147298297557,28.7,2.155125317360791,277,0.9951147298297557
28.7,3.1,277,0.9952134221564273,28.7,2.226962827939484,277,0.9952134221564273
28.7,2.8,282,0.9948186528497409,28.7,2.0114502962034044,282,0.9948186528497409
28.7,2.4,297,0.9940291142363682,28.7,1.7241002538886325,297,0.9940291142363682
28.6,2.3,307,0.9930421909696522,28.6,1.6522627433099395,307,0.9930421909696522
28.5,2.3,299,0.9927461139896373,28.5,1.6522627433099395,299,0.9927461139896373
28.4,2.8,284,0.9929434986429805,28.4,2.0114502962034044,284,0.9929434986429805
28.4,3.3,274,0.9932395756229953,28.4,2.3706378490968696,274,0.9932395756229953
28.3,3.8,265,0.9938317295830249,28.3,2.7298254019903347,265,0.9938317295830249
28.6,4.2,262,0.9944238835430546,28.6,3.0171754443051073,262,0.9944238835430546
29.4,4.6,265,0.9948186528497409,29.4,3.304525486619879,265,0.9948186528497409
30.3,5.1,271,0.9950160375030842,30.3,3.663713039513344,271,0.9950160375030842
30.8,5.3,274,0.9951147298297557,30.8,3.80738806067073,274,0.9951147298297557
31.3,5.2,272,0.9947199605230693,31.3,3.7355505500920376,272,0.9947199605230693
31.8,5.1,272,0.9940291142363682,31.8,3.663713039513344,272,0.9940291142363682
32.1,5.2,273,0.9931408832963237,32.1,3.7355505500920376,273,0.9931408832963237
32.2,5.3,273,0.9923513446829509,32.2,3.80738806067073,273,0.9923513446829509
32.1,5.1,276,0.9922526523562792,32.1,3.663713039513344,276,0.9922526523562792
31.8,4.9,278,0.9924500370096225,31.8,3.5200380183559585,278,0.9924500370096225
31.3,4.9,277,0.9927461139896373,31.3,3.5200380183559585,277,0.9927461139896373
30.6,4.8,276,0.9931408832963237,30.6,3.448200507777265,276,0.9931408832963237
29.8,4.6,277,0.9931408832963237,29.8,3.304525486619879,277,0.9931408832963237
29.3,4.4,279,0.9932395756229953,29.3,3.1608504654624934,279,0.9932395756229953
29.0,4.2,284,0.9940291142363682,29.0,3.0171754443051073,284,0.9940291142363682
28.7,4.3,291,0.9947199605230693,28.7,3.0890129548838,291,0.9947199605230693
28.7,5.1,293,0.9947199605230693,28.7,3.663713039513344,293,0.9947199605230693
28.7,5.6,295,0.9944238835430546,28.7,4.022900592406809,295,0.9944238835430546
28.6,5.5,296,0.9937330372563533,28.6,3.9510630818281163,296,0.9937330372563533
28.6,5.9,293,0.9928448063163089,28.6,4.238413124142889,293,0.9928448063163089
28.5,6.1,283,0.9924500370096225,28.5,4.3820881453002745,283,0.9924500370096225
28.5,6.1,276,0.9927461139896373,28.5,4.3820881453002745,276,0.9927461139896373
28.6,5.8,273,0.9931408832963237,28.6,4.166575613564196,273,0.9931408832963237
28.7,5.5,273,0.9934369602763385,28.7,3.9510630818281163,273,0.9934369602763385
29.0,5.2,274,0.9937330372563533,29.0,3.7355505500920376,274,0.9937330372563533
29.5,5.0,272,0.9941278065630397,29.5,3.5918755289346516,272,0.9941278065630397
30.1,5.4,280,0.9946212681963977,30.1,3.8792255712494237,280,0.9946212681963977
30.6,5.6,283,0.9949173451764125,30.6,4.022900592406809,283,0.9949173451764125
31.0,5.7,275,0.9949173451764125,31.0,4.094738102985502,275,0.9949173451764125
31.2,6.0,274,0.994325191216383,31.2,4.310250634721582,274,0.994325191216383
31.4,6.1,276,0.9934369602763385,31.4,4.3820881453002745,276,0.9934369602763385
31.6,5.9,277,0.9925487293362941,31.6,4.238413124142889,277,0.9925487293362941
31.5,6.0,277,0.9921539600296077,31.5,4.310250634721582,277,0.9921539600296077
31.2,6.1,277,0.9921539600296077,31.2,4.3820881453002745,277,0.9921539600296077
30.7,5.7,279,0.9922526523562792,30.7,4.094738102985502,279,0.9922526523562792
30.2,5.2,284,0.9924500370096225,30.2,3.7355505500920376,284,0.9924500370096225
29.7,4.7,286,0.9928448063163089,29.7,3.3763629971985725,286,0.9928448063163089
29.3,4.2,283,0.9931408832963237,29.3,3.0171754443051073,283,0.9931408832963237
29.2,4.4,288,0.9939304219096965,29.2,3.1608504654624934,288,0.9939304219096965
29.1,4.7,292,0.9945225758697261,29.1,3.3763629971985725,292,0.9945225758697261
29.1,4.9,292,0.9945225758697261,29.1,3.5200380183559585,292,0.9945225758697261
29.0,5.4,289,0.9941278065630397,29.0,3.8792255712494237,289,0.9941278065630397
29.0,5.8,287,0.9935356526030101,29.0,4.166575613564196,287,0.9935356526030101
29.2,5.9,289,0.9928448063163089,29.2,4.238413124142889,289,0.9928448063163089
29.2,5.9,288,0.9926474216629657,29.2,4.238413124142889,288,0.9926474216629657
29.1,5.7,284,0.9926474216629657,29.1,4.094738102985502,284,0.9926474216629657
29.0,5.7,279,0.9927461139896373,29.0,4.094738102985502,279,0.9927461139896373
29.0,5.6,274,0.9932395756229953,29.0,4.022900592406809,274,0.9932395756229953
29.3,5.5,275,0.9939304219096965,29.3,3.9510630818281163,275,0.9939304219096965
29.9,5.7,282,0.9942264988897113,29.9,4.094738102985502,282,0.9942264988897113
30.5,6.1,288,0.9945225758697261,30.5,4.3820881453002745,288,0.9945225758697261
